onset	duration	sample	trial_type	response_time	stim_file	value
568.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
569.7940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
570.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
571.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
572.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
573.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
574.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
575.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
576.7960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
577.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
578.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
579.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
580.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
581.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
582.7980000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
583.8000000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
600.7900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
602.8120000000	n/a	n/a	Novel Tone	n/a	n/a	S202
604.9940000000	n/a	n/a	Standard Tone	n/a	n/a	S201
606.8680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
608.7840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
610.9620000000	n/a	n/a	Target Tone	n/a	n/a	S200
612.8940000000	n/a	n/a	Standard Tone	n/a	n/a	S201
614.7540000000	n/a	n/a	Standard Tone	n/a	n/a	S201
617.0020000000	n/a	n/a	Novel Tone	n/a	n/a	S202
618.8260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
620.7820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
622.5700000000	n/a	n/a	Target Tone	n/a	n/a	S200
624.6180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
626.6120000000	n/a	n/a	Standard Tone	n/a	n/a	S201
628.5880000000	n/a	n/a	Standard Tone	n/a	n/a	S201
630.3860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
632.2960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
634.5060000000	n/a	n/a	Target Tone	n/a	n/a	S200
636.3220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
638.1440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
640.1400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
642.2220000000	n/a	n/a	Novel Tone	n/a	n/a	S202
644.1240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
646.0720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
647.9960000000	n/a	n/a	Novel Tone	n/a	n/a	S202
649.8240000000	n/a	n/a	Standard Tone	n/a	n/a	S201
652.0480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
654.1480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
656.1840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
658.1100000000	n/a	n/a	Target Tone	n/a	n/a	S200
660.2420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
662.3360000000	n/a	n/a	Standard Tone	n/a	n/a	S201
664.1440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
666.1400000000	n/a	n/a	Target Tone	n/a	n/a	S200
668.3560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
670.4680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
672.6920000000	n/a	n/a	Target Tone	n/a	n/a	S200
674.6660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
676.6360000000	n/a	n/a	Standard Tone	n/a	n/a	S201
678.5080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
680.7720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
682.6760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
